frs_id,facility_name,facility_name_2,facility_name_3,total_releases_on-off-site_lbs,radius,total_persons,land_area,water_area,pop_density,minority_pop,households,housing_units,households_public_assistance,persons_below_poverty_level,white_pop,pct_wh,african_american_pop,pct_aa,hispanic_origin_pop,pct_hi,asian_pacific_islander_pop,pct_api,american_indian_pop,pct_ai,multiracial_pop,pct_mr,child_5_0_pop,minors_17_0_pop,adults_18_plus_pop,seniors_65_plus_pop,less_than_9th_grade_pop,grades_9_12_pop,high_school_diploma_pop,some_college_pop,bs_ba_more_pop,income_less_15k_house,pct_less_15k,income_15k_25k_house,pct_15k_25k,income_25k_50k_house,pct_25k_50k,income_50k_75k_house,pct_50k_75k,income_greater_75k_house,pct_greater_75k,acs_pop,city_name,county_name,state,tri_facility_id,latitude,longitude,latitude_2,longitude_2
110000335940,CASTROL INDUSTRIAL WARMINSTER,CASTROL INDUSTRIAL WARMINSTER,"CASTROL INDUSTRIAL WARMINSTER.775 LOUIS DR, WARMINSTER PENNSYLVANIA 18974 (BUCKS)",NA,1,9181,3.1079,0.0014,2954.04,2021,3622,3789,95,2319,7587,0.8264,371,0.0404,1210,0.1318,276,0.0301,29,0.0032,918,0.1,551,1912,7269,2094,294,535,2519,1564,1404,278,0.0768,357,0.0986,988,0.2728,721,0.1991,1127,0.3112,8973,WARMINSTER,BUCKS,PA,18974CSTRL775LO,40.20234,-75.08443,40.204,-75.082
110000336440,MONROE ENERGY LLC-TRAINER REFINERY,MONROE ENERGY LLC-TRAINER REFINERY,"MONROE ENERGY LLC-TRAINER REFINERY.4101 POST RD, TRAINER PENNSYLVANIA 19061 (DELAWARE)",452780.7,1,10485,2.7393,0.3725,3827.55,7122,3704,4476,373,5731,3626,0.3458,6091,0.5809,882,0.0841,69,0.0066,47,0.0045,652,0.0622,888,3175,7310,945,268,957,3805,1291,595,1074,0.29,580,0.1566,1278,0.345,565,0.1525,653,0.1763,11175,TRAINER,DELAWARE,PA,19061BPLCMPOSTR,39.829311,-75.401169,39.829,-75.401
110000336440,MONROE ENERGY LLC-TRAINER REFINERY,MONROE ENERGY LLC-TRAINER REFINERY,"MONROE ENERGY LLC-TRAINER REFINERY.4101 POST RD, TRAINER PENNSYLVANIA 19061 (DELAWARE)",452780.7,5,150716,65.332,13.1876,2306.92,53517,57344,62221,2672,42285,99873,0.6627,41154,0.2731,6717,0.0446,3734,0.0248,367,0.0024,5587,0.0371,9862,35903,114813,20372,3621,8359,38325,23347,24499,7622,0.1329,5375,0.0937,13348,0.2328,10484,0.1828,20062,0.3499,146342,TRAINER,DELAWARE,PA,19061BPLCMPOSTR,39.829311,-75.401169,39.829,-75.401
110000336440,MONROE ENERGY LLC-TRAINER REFINERY,MONROE ENERGY LLC-TRAINER REFINERY,"MONROE ENERGY LLC-TRAINER REFINERY.4101 POST RD, TRAINER PENNSYLVANIA 19061 (DELAWARE)",452780.7,3,63081,21.7879,6.4943,2895.25,30768,23474,26087,1568,24312,33350,0.5287,26238,0.4159,3231,0.0512,580,0.0092,177,0.0028,2736,0.0434,4588,16375,46706,8023,2075,4774,19067,9631,5962,4515,0.1923,2835,0.1208,6072,0.2587,4248,0.181,6252,0.2663,62487,TRAINER,DELAWARE,PA,19061BPLCMPOSTR,39.829311,-75.401169,39.829,-75.401
110000336994,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,"PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY.3144 PASSYUNK AVE, PHILADELPHIA PENNSYLVANIA 19145 (PHILADELPHIA)",496121.8,1,5125,2.9025,0.2256,1765.72,2953,2234,2526,259,3585,2238,0.4367,2311,0.4509,216,0.0421,361,0.0704,16,0.0031,199,0.0388,394,1285,3840,670,382,645,1246,664,735,772,0.3456,382,0.171,478,0.214,291,0.1303,300,0.1343,5844,PHILADELPHIA,PHILADELPHIA,PA,19145TLNTC3144P,39.91354,-75.19889,39.914,-75.199
110000336994,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,"PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY.3144 PASSYUNK AVE, PHILADELPHIA PENNSYLVANIA 19145 (PHILADELPHIA)",496121.8,5,665786,68.328,10.182,9743.98,428791,273552,310754,18497,295561,251260,0.3774,323376,0.4857,40399,0.0607,54106,0.0813,2058,0.0031,34987,0.0525,42529,139266,526520,76253,24332,54431,135438,87039,112303,61215,0.2238,34007,0.1243,65511,0.2395,41532,0.1518,57326,0.2096,626658,PHILADELPHIA,PHILADELPHIA,PA,19145TLNTC3144P,39.91354,-75.19889,39.914,-75.199
110000336994,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,"PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY.3144 PASSYUNK AVE, PHILADELPHIA PENNSYLVANIA 19145 (PHILADELPHIA)",496121.8,3,297497,24.9259,3.3477,11935.29,179372,121903,137333,7906,133566,124528,0.4186,122878,0.413,17182,0.0578,33860,0.1138,842,0.0028,15389,0.0517,18673,59260,238237,32803,12113,25775,58972,35394,53578,26040,0.2136,16370,0.1343,30192,0.2477,18128,0.1487,25075,0.2057,282863,PHILADELPHIA,PHILADELPHIA,PA,19145TLNTC3144P,39.91354,-75.19889,39.914,-75.199
110000367102,HUNT REFINING CO A CORP,HUNT REFINING CO A CORP,"HUNT REFINING CO A CORP.1855 FAIRLAWN RD, TUSCALOOSA ALABAMA 35401 (TUSCALOOSA)",50421.62,5,74710,76.6402,2.287,974.81,34423,29572,33426,926,33545,41244,0.5521,30122,0.4032,2300,0.0308,1343,0.018,185,0.0025,1816,0.0243,3631,12270,62440,8202,2127,5023,11035,9283,10141,8206,0.2775,4080,0.138,6315,0.2135,3547,0.1199,4277,0.1446,63954,TUSCALOOSA,TUSCALOOSA,AL,35401HNTRF1855F,33.2003,-87.607,33.2,-87.607
110000367102,HUNT REFINING CO A CORP,HUNT REFINING CO A CORP,"HUNT REFINING CO A CORP.1855 FAIRLAWN RD, TUSCALOOSA ALABAMA 35401 (TUSCALOOSA)",50421.62,3,23329,27.5759,0.6815,845.98,17377,9118,10164,280,12391,6235,0.2673,16315,0.6993,773,0.0331,150,0.0064,53,0.0023,575,0.0246,1516,5102,18227,2968,1067,2621,4915,3150,2228,2826,0.3099,1533,0.1681,2250,0.2468,1097,0.1203,935,0.1025,21472,TUSCALOOSA,TUSCALOOSA,AL,35401HNTRF1855F,33.2003,-87.607,33.2,-87.607
110000367102,HUNT REFINING CO A CORP,HUNT REFINING CO A CORP,"HUNT REFINING CO A CORP.1855 FAIRLAWN RD, TUSCALOOSA ALABAMA 35401 (TUSCALOOSA)",50421.62,1,1711,3.0164,0.1344,567.12,1659,635,669,54,1202,53,0.031,1648,0.9632,3,0.0018,0,0,3,0.0018,7,0.0041,164,554,1157,214,93,322,324,181,82,267,0.4205,98,0.1543,188,0.2961,56,0.0882,18,0.0283,1780,TUSCALOOSA,TUSCALOOSA,AL,35401HNTRF1855F,33.2003,-87.607,33.2,-87.607
